#,BibTeX Key,Authors,Title,Venue,Venue Type,Year,Orientation,MTL Type,Dynamicity,Animation Type,CLUSTER,,Intent,,,
,,,,,,,,,,,MT Lang,TOOLS,Declared?,Values,,
1,,"Bandener, Nils and Soltenborn, Christian and Gregor Engels",Extending DMM Behavior Specifications for Visual Execution and Debugging,SLE,CONF,2012,ACA,GPML,ONLINE,CUSTOM,FSM,OTHER,YES,UNDERSTAND,EDUCATE,DEBUG
2,,"Bousse, Erwan and Degueule, Thomas and Vojtisek, Didier et al. ",Execution Framework of the GeMoC Studio (Tool Demo) ,SLE,CONF,2016,ACA,MP,ONLINE,CUSTOM,KERMETA,GEMOC,YES,UNDERSTAND,,DEBUG
3,,"Bousse, Erwan and Leroy, Dorian and Combemale, Benoit and Wimmer, Manuel and Baudry, Benoit",Omniscient Debugging for xDSLs,SoSyM,JOUR,2018,ACA,MP,ONLINE,CUSTOM,KERMETA,GEMOC,YES,,,DEBUG
4,,"Claudia, Ermel and Hartmut, Ehrig",Behavior-preserving simulation-to-animation model and rule transformations. ,ENTCS,JOUR,2008,ACA,GBT,ONLINE,CUSTOM,REWRITE,GenGED,YES,UNDERSTAND,,DEBUG
5,,"Combemale, Benoit and Barais, Olivier and Brun, Cedric et al",A Solution to the TTC’15 Model Execution Case Using the GEMOC Studio.,TTC,WSHOP,2015,INDUS,MP,ONLINE,CUSTOM,KERMETA,GEMOC,YES,,,DEBUG
6,,"Combemale, Benoit and Brun, Cedric and Champeau, Joel and Cregut, Xavier and Deantoni, Julien and Le Noir, Jerome.",A Tool-Supported Approach for Concurrent Execution of Heterogeneous Models,ERTS,CONF,2016,INDUS,GPPL,ONLINE,CUSTOM,XTEND/JAVA,GEMOC,YES,UNDERSTAND,,DEBUG
7,,"Combemale, Benoit and Cregut, Xavier and Giacometti, Jean-Pierre and Michel, Pierre et al",Introducing Simulation and Model Animation in the MDE Topcased Toolkit.,ERTS,CONF,2008,INDUS,GPPL,ONLINE,PREDEF,XTEND/JAVA,TOPCASED,YES,UNDERSTAND,,DEBUG
8,,"Cramer, Bastian and Kastens, Uwe",Animation Automatically Generated From Simulation Specifications ,VL/HCC ,CONF,2009,ACA,MP,ONLINE,CUSTOM,OTHER,OTHER,YES,,,DEBUG
9,,"Cregut, Xavier and Combemale, B. and Pantel, Marc and Faudoux, R. and Pavei, Jonatas",Generative Technologies for Model Animation in the TopCased Platform.,ECMFA,CONF,2010,INDUS,GPPL,ONLINE,CUSTOM,XTEND/JAVA,TOPCASED,YES,UNDERSTAND,,DEBUG
10,,"Das, Nondini and Ganesan, Suchita and Jweda, Leo and Bagherzadeh, Mojtaba and Hili, Nicolas and Dingel, Juergen",Supporting The MDD of Real-Time Embedded Systems With Run-Time Monitoring and Animation via Highly Customizable Code Generation,MoDELS-C,WSHOP,2016,ACA,GPML,ONLINE,PREDEF,FSM,OTHER,YES,UNDERSTAND,EDUCATE,DEBUG
